Company Name,Investment Date,Company ID,SIC Code,NAIC Code ,Round Number,Equity Amount Disclosed (USD Mil),Valuation at Transaction Date (USD Mil),No. of Funds at Investment Date,Firm Name,Fund Name,Fund Known Equity Invested in Company at Investment Date (USD Mil)
"ProVation Medical, Inc.",08/27/2001,C901942082,7372,334611,5,12.50,32.70,4,Sherpa Partners LLC,Sherpa Trek Fund I,0.50
"ProVation Medical, Inc.",08/27/2001,C901942082,7372,334611,5,12.50,32.70,4,Tenet Healthcare Corp,Tenet Healthcare Corporation,1.00
"Proxima System, Ltd.",07/17/2001,C900652080,7372,334611,10,-,29.20,3,Undisclosed Firm,Undisclosed Fund,-
"Proxima System, Ltd.",07/17/2001,C900652080,7372,334611,10,-,29.20,3,Undisclosed Firm,Undisclosed Fund,-
"Proxima System, Ltd.",07/17/2001,C900652080,7372,334611,10,-,29.20,3,Undisclosed Firm,Undisclosed Fund,-
"Proxima Therapeutics, Inc.",02/05/2001,C900043832,3826,334516,4,18.00,52.95,8,"New Enterprise Associates, Inc.","Catalyst Ventures, L.P.",0.60
"Proxima Therapeutics, Inc.",02/05/2001,C900043832,3826,334516,4,18.00,52.95,8,Domain Associates LLC,"Domain Partners V, L.P.",6.83
"Proxima Therapeutics, Inc.",02/05/2001,C900043832,3826,334516,4,18.00,52.95,8,Domain Associates LLC,"DP V Associates, LP",0.17
"Proxima Therapeutics, Inc.",02/05/2001,C900043832,3826,334516,4,18.00,52.95,8,"Rock Hill Ventures, Inc.",Hillman Medical Ventures,-
"Proxima Therapeutics, Inc.",02/05/2001,C900043832,3826,334516,4,18.00,52.95,8,Lovett Miller & Co Inc,Lovett Miller & Company - Unspecified Fund,1.00
"Proxima Therapeutics, Inc.",02/05/2001,C900043832,3826,334516,4,18.00,52.95,8,Merrill Lynch Capital Partners Inc,Merrill Lynch Venture Capital Inc.,-
"Proxima Therapeutics, Inc.",02/05/2001,C900043832,3826,334516,4,18.00,52.95,8,NeuroVentures Capital LLC,"NeuroVentures Fund, L.P.",-
"Proxima Therapeutics, Inc.",02/05/2001,C900043832,3826,334516,4,18.00,52.95,8,"New Enterprise Associates, Inc.",New Enterprise Associates VII,2.00
"Proximity, Inc.",03/15/2001,C900043835,3661,334210,1,-,4.00,1,North Atlantic Capital,"North Atlantic Venture Fund II, L.P.",1.00
Psiloquest Inc,07/26/2001,C901375153,3672,334412,2,2.50,6.00,2,Grace Venture Partners,Grace Venture Partners I,1.00
Psiloquest Inc,07/26/2001,C901375153,3672,334412,2,2.50,6.00,2,Aurora Funds Inc,Harbinger/Aurora QP Venture Fund LLC,1.50
"Psionic Software, Inc.",12/18/2001,C901204917,7372,511210,1,0.75,2.25,2,G 51 Capital Management LLC,G-51 Capital Affiliate Fund,0.21
"Psionic Software, Inc.",12/18/2001,C901204917,7372,511210,1,0.75,2.25,2,G 51 Capital Management LLC,G-51 Capital Fund II,0.54
"PsyCor International, Inc.",08/04/2001,C902935538,7372,541511,3,-,4.00,1,Easton Hunt Capital Partners LP,"Easton Hunt Capital Partners, L.P",-
PTC Therapeutics Inc,08/01/2001,C901179439,2836,325414,2,40.00,80.00,11,Bay City Capital LLC,"Bay City Capital Fund III, L.P.",-
PTC Therapeutics Inc,08/01/2001,C901179439,2836,325414,2,40.00,80.00,11,China Development Industrial Bank,China Development Industrial Bank - Direct Investment Fund,-
PTC Therapeutics Inc,08/01/2001,C901179439,2836,325414,2,40.00,80.00,11,Credit Suisse Private Equity,"Credit Suisse First Boston Equity Partners, L.P.",6.25
PTC Therapeutics Inc,08/01/2001,C901179439,2836,325414,2,40.00,80.00,11,Delphi Ventures,Delphi Ventures V,3.22
PTC Therapeutics Inc,08/01/2001,C901179439,2836,325414,2,40.00,80.00,11,Odlander Fredrikson & Co AB,HealthCap III,-
PTC Therapeutics Inc,08/01/2001,C901179439,2836,325414,2,40.00,80.00,11,Manulife Capital Corp,Manufacturers Life Insurance Company,-
PTC Therapeutics Inc,08/01/2001,C901179439,2836,325414,2,40.00,80.00,11,Nmt New Medical Technologies,New Medical Technologies,0.49
PTC Therapeutics Inc,08/01/2001,C901179439,2836,325414,2,40.00,80.00,11,Novo A/S,Novo A/S - Unspecified Fund,-
PTC Therapeutics Inc,08/01/2001,C901179439,2836,325414,2,40.00,80.00,11,Banque Pictet & Cie SA,Pictet et Cie,-
PTC Therapeutics Inc,08/01/2001,C901179439,2836,325414,2,40.00,80.00,11,Undisclosed Firm,Undisclosed Fund,-
PTC Therapeutics Inc,08/01/2001,C901179439,2836,325414,2,40.00,80.00,11,Vulcan Capital Group Llc,Vulcan Capital - Unspecified Fund,-
Ptg Inc,04/18/2001,C900692858,4215,491110,2,10.60,51.00,2,Advantage Capital Partners,"Advantage Capital Florida Partners I, L.P.",0.34
Ptg Inc,04/18/2001,C900692858,4215,491110,2,10.60,51.00,2,Undisclosed Firm,Undisclosed Fund,-
Q9 Networks Inc,04/05/2001,C901275154,7389,518210,3,35.95,101.55,6,Jla Ventures,J.L. Albright Venture Fund III,4.76
Q9 Networks Inc,04/05/2001,C901275154,7389,518210,3,35.95,101.55,6,Shaw Ventures Ltd,"Shaw Ventures, Ltd.",-
Q9 Networks Inc,04/05/2001,C901275154,7389,518210,3,35.95,101.55,6,Undisclosed Firm,Undisclosed Fund,-
Q9 Networks Inc,04/05/2001,C901275154,7389,518210,3,35.95,101.55,6,Undisclosed Firm,Undisclosed Fund,-
Q9 Networks Inc,04/05/2001,C901275154,7389,518210,3,35.95,101.55,6,Vengrowth Asset Management Inc,VenGrowth II,-
Q9 Networks Inc,04/05/2001,C901275154,7389,518210,3,35.95,101.55,6,Growth Works Capital Ltd,Working Ventures II Technology Fund,-
Qarana,09/19/2001,C900891020,7375,519130,3,0.87,19.44,1,Geocapital Partners LLC,"Geocapital V, L.P.",-
Qbiquity,08/09/2001,C901184922,-,-,4,2.33,4.01,4,Aspen Ventures,"Aspen Ventures III, L.P.",0.59
Qbiquity,08/09/2001,C901184922,-,-,4,2.33,4.01,4,Canaan Partners,"Canaan Equity II, L.P.",0.34
Qbiquity,08/09/2001,C901184922,-,-,4,2.33,4.01,4,Red Rock Ventures,"Red Rock Ventures II, L.P.",0.72
Qbiquity,08/09/2001,C901184922,-,-,4,2.33,4.01,4,Undisclosed Firm,Undisclosed Fund,-
"Qiva, Inc.",05/11/2001,C901688844,7372,334611,2,9.20,49.00,10,Bessemer Venture Partners,"Bessec Ventures V, L.P.",1.07
"Qiva, Inc.",05/11/2001,C901688844,7372,334611,2,9.20,49.00,10,Bessemer Venture Partners,"Bessemer Venture Investors II, L.P.",0.18
"Qiva, Inc.",05/11/2001,C901688844,7372,334611,2,9.20,49.00,10,Bessemer Venture Partners,"Bessemer Venture Partners V, L.P.",0.95
"Qiva, Inc.",05/11/2001,C901688844,7372,334611,2,9.20,49.00,10,Bessemer Venture Partners,"BIP 2001, L.P.",0.36
"Qiva, Inc.",05/11/2001,C901688844,7372,334611,2,9.20,49.00,10,Bessemer Venture Partners,BVE 2001 LLC,0.42
"Qiva, Inc.",05/11/2001,C901688844,7372,334611,2,9.20,49.00,10,Symphony Technology Group LLC,Symphony Technology Group - Unspecified Fund,-
"Qiva, Inc.",05/11/2001,C901688844,7372,334611,2,9.20,49.00,10,Undisclosed Firm,Undisclosed Fund,0.03
"Qiva, Inc.",05/11/2001,C901688844,7372,334611,2,9.20,49.00,10,Undisclosed Firm,Undisclosed Fund,-
"Qiva, Inc.",05/11/2001,C901688844,7372,334611,2,9.20,49.00,10,Undisclosed Firm,Undisclosed Fund,-
"Qiva, Inc.",05/11/2001,C901688844,7372,334611,2,9.20,49.00,10,Globespan Capital Partners,Undisclosed Fund,3.00
Q-Link Technologies,04/06/2001,C901280268,7372,334611,2,-,7.00,1,Gotham Ventures LLC,"Draper Fisher Jurvetson Gotham Fund, L.P.",3.50
"Qpass, Inc.",05/01/2001,C900547308,7372,334611,6,15.80,74.10,12,Accenture Technology Ventures,Accenture Technology Ventures,-
"Qpass, Inc.",05/01/2001,C900547308,7372,334611,6,15.80,74.10,12,American Express Ltd,American Express -Unspecified Fund,-
"Qpass, Inc.",05/01/2001,C900547308,7372,334611,6,15.80,74.10,12,KeyNote Ventures,Dali Hook Partners - Unspecified Fund,0.12
